Strains	lavene	p.value	p.valueW	Mean	fc	ci	p.adj
L371	0.0676161505938834	0.0171599560328122	0.00576612091423726	0.631322997160746	0.309926549449026	0.218834104235725	0.0269378932439618
L374	0.0244444735561927	5.76386736063701e-05	0.00749495751693525	1	0.57870035035958	0	0.000275605611727011
L380	0.040529217975452	0.00261894723674668	0.0199644533052161	0.88444666001994	0.46314701037952	0.215348299675131	0.00576445529357999
L383	0.967173315701765	0.0824251330606214	0.136037128114144	0.536782661782662	0.115483012142241	0.204939785979558	0.111690082583774
L384	0.395414070103072	0.147464175861302	0.1732171126447	0.538536796536797	0.117237146896376	0.181977014891607	0.183667955563777
L386	0.508417408210506	0.0112270065415661	0.0616891659809245	0.859848484848485	0.438548835208064	0.446024671573853	0.0193793971837822
L391	0.87717833193748	2.45509255541996e-05	0.0179428113356381	0.954268292682927	0.532968643042506	0.145538702985535	0.000143847676486578
L394	0.661296481462064	0.0155238350926324	0.0368884257070499	0.631760339342524	0.210460689702103	0.269679852198839	0.0248381361482119
L395	0.0447953236337242	5.76386736063701e-05	0.0179428113356381	1	0.57870035035958	1.0199542494133e-16	0.000275605611727011
L396	0.192207018441947	0.0241203658311743	0.0367138563627041	0.634590214069845	0.213290564429425	0.193557799485339	0.0362240873132437
L399	0.00675734582706971	0.0115579915340533	0.0194510333313625	0.849099099099099	0.427799449458679	0.280273384195464	0.0197865204862805
L44	0.524456333513896	0.0535311296077684	0.0121857803553448	0.67556930057577	0.211506448888057	0.233040954181978	0.0754879658197684
L48	0.620639082370322	0.0178546575853496	0.0215717479477209	0.649933763631744	0.185870911944031	0.130795930010839	0.0279230735169378
L58	0.904876766858628	0.0130386074668642	0.0137108300781332	0.637710236253809	0.173647384566096	0.0982922470488432	0.0217833763301828
L59	0.486959507808353	0.0196517903026432	0.0121857803553448	0.593382704551764	0.129319852864051	0.0466233932096371	0.0303908727356861
L61	0.163007597902201	1.15230239405321e-06	0.00749495751693525	1	0.535937148312287	0	1.54631547072947e-05
L62	0.163007597902201	1.15230239405321e-06	0.00749495751693525	1	0.535937148312287	0	1.54631547072947e-05
L68	0.322404876610418	0.00729546183411764	0.0121857803553448	0.773526931169385	0.309464079481672	0.211797254943598	0.0134884983244131
L69	0.389304543460913	0.818395337006825	0.522816653919089	0.473951143096479	0.00988829140876596	0.044576622103949	0.842335347450424
L70	0.900390217788528	0.00548493196758831	0.0121857803553448	0.665254752200935	0.201191900513222	0.0943981190791078	0.0108071546353635
